mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	4/4	2	1	1/12	1/8	2/3		7	61	6
1	1	1/12	1/12	4/4	2	1	1/12	1/8	2/3		4	64	7
1	1	1/6	1/6	4/4	2	1	1/12	1/8	2/3		3	69	8
1	1	1/4	1/4	4/4	1	1	1/12	1/8	2/3		7	73	0
1	1	1/3	1/3	4/4	1	1	1/12	1/8	2/3		4	76	1
1	1	5/12	5/12	4/4	1	1	1/12	1/8	2/3		6	78	2
1	1	1/2	1/2	4/4	1	1	1/12	1/8	2/3		8	80	3
1	1	7/12	7/12	4/4	1	1	1/12	1/8	2/3		9	75	4
1	1	2/3	2/3	4/4	1	1	1/12	1/8	2/3		5	71	5
1	1	3/4	3/4	4/4	2	1	1/12	1/8	2/3		8	68	9
1	1	5/6	5/6	4/4	2	1	1/12	1/8	2/3		9	63	10
1	1	11/12	11/12	4/4	2	1	1/12	1/8	2/3		5	59	11
2	2	0	0	4/4	2	1	1/12	1/8	2/3		3	57	18
2	2	1/12	1/12	4/4	2	1	1/12	1/8	2/3		7	61	19
2	2	1/6	1/6	4/4	2	1	1/12	1/8	2/3		6	66	20
2	2	1/4	1/4	4/4	1	1	1/12	1/8	2/3		3	69	12
2	2	1/3	1/3	4/4	1	1	1/12	1/8	2/3		7	73	13
2	2	5/12	5/12	4/4	1	1	1/12	1/8	2/3		9	75	14
2	2	1/2	1/2	4/4	1	1	1/12	1/8	2/3		4	76	15
2	2	7/12	7/12	4/4	1	1	1/12	1/8	2/3		5	71	16
2	2	2/3	2/3	4/4	1	1	1/12	1/8	2/3		8	68	17
2	2	3/4	3/4	4/4	2	1	1/12	1/8	2/3		4	64	21
2	2	5/6	5/6	4/4	2	1	1/12	1/8	2/3		5	59	22
2	2	11/12	11/12	4/4	2	1	1/12	1/8	2/3		8	56	23
3	3	0	0	4/4	2	1	1/12	1/8	2/3		6	54	34
3	3	0	0	4/4	2	2	1/2	1/2	1		6	54	42
3	3	1/12	1/12	4/4	2	1	1/12	1/8	2/3		3	57	35
3	3	1/6	1/6	4/4	2	1	1/12	1/8	2/3	1	7	61	36
3	3	1/4	1/4	4/4	2	1	1/4	1/4	1	-1	7	61	37
3	3	1/4	1/4	4/4	1	2	1/12	1/8	2/3		7	73	27
