slice	0	1	2	3	4	5	6	7	8	9	10	11
[0.0, 1.0)	0.25										0.75	
[1.0, 2.0)			0.25					0.25			0.5	
[2.0, 3.0)			0.25					0.25			0.5	
[3.0, 4.0)	0.25										0.75	
[4.0, 5.0)	0.25										0.75	
[5.0, 6.0)			0.25					0.25			0.5	
[6.0, 7.0)			0.25					0.25			0.5	
[7.0, 8.0)	0.25										0.75	
[8.0, 9.0)	0.16666666666666666							0.3333333333333333			0.5	
[9.0, 10.0)			0.16666666666666666					0.5			0.3333333333333333	
[10.0, 11.0)			0.5					0.16666666666666666			0.3333333333333333	
[11.0, 12.0)	0.16666666666666666		0.3333333333333333								0.5	
[12.0, 13.0)	0.25		0.5								0.25	
[13.0, 14.0)			0.25		0.25	0.25		0.25				
[14.0, 15.0)			0.25					0.75				
[15.0, 16.0)	0.25		0.25		0.25						0.25	
[16.0, 17.0)	0.4165				0.3335						0.25	
[17.0, 18.0)	0.16691654172913542		0.24987506246876556		0.3333333333333333			0.24987506246876556				
[18.0, 19.0)			0.75					0.25				
[19.0, 20.0)	0.25		0.5								0.25	
[20.0, 21.0)	0.25		0.5								0.25	
[21.0, 22.0)			0.75					0.25				
[22.0, 23.0)			0.25					0.25			0.5	
[23.0, 24.0)	0.25		0.5								0.25	
[24.0, 25.0)					0.5					0.25	0.25	
[25.0, 26.0)	0.25					0.75						
[26.0, 27.0)	0.75					0.25						
[27.0, 28.0)	0.5									0.25	0.25	
[28.0, 29.0)	0.5							0.25		0.25		
[29.0, 30.0)	0.5				0.25						0.25	
[30.0, 31.0)					0.25			0.5			0.25	
[31.0, 32.0)								0.75		0.25		
[32.0, 33.0)	0.16666666666666666					0.5				0.3333333333333333		
[33.0, 34.0)	0.25					0.375				0.375		
[34.0, 35.0)	0.25		0.125			0.25				0.375		
[35.0, 36.0)	0.375					0.375				0.25		
[36.0, 37.0)	0.16666666666666666					0.5				0.3333333333333333		
[37.0, 38.0)	0.25					0.375				0.375		
[38.0, 39.0)	0.25		0.125			0.25				0.375		
[39.0, 40.0)	0.375		0.125			0.25				0.25		
[40.0, 41.0)			0.25							0.75		
[41.0, 42.0)			0.25			0.25				0.5		
[42.0, 43.0)	0.25				0.5					0.25		
[43.0, 44.0)	0.25				0.75							
[44.0, 45.0)					0.5	0.25				0.25		
[45.0, 46.0)	0.5				0.25					0.25		
[46.0, 47.0)			0.75					0.25				
[47.0, 48.0)								0.5			0.5	
[48.0, 49.0)			0.25							0.75		
[49.0, 50.0)			0.25			0.25				0.5		
[50.0, 51.0)	0.25				0.5					0.25		
[51.0, 52.0)	0.25				0.75							
[52.0, 53.0)					0.5	0.25				0.25		
[53.0, 54.0)	0.5				0.25					0.25		
[54.0, 55.0)			0.75					0.25				
[55.0, 56.0)								0.5			0.5	
[56.0, 57.0)	0.25							0.75				
[57.0, 58.0)					0.25			0.75				
[58.0, 59.0)			0.75								0.25	
[59.0, 60.0)			0.75		0.25							
[60.0, 61.0)			0.75								0.25	
[61.0, 62.0)			0.25					0.25			0.5	
[62.0, 63.0)	0.75					0.25						
[63.0, 64.0)						0.25		0.25		0.5		
[64.0, 65.0)					0.25					0.75		
[65.0, 66.0)	0.3333333333333333				0.3333333333333333					0.3333333333333333		
[66.0, 67.0)			0.25			0.5				0.25		
[67.0, 68.0)			0.3333333333333333			0.3333333333333333				0.3333333333333333		
[68.0, 69.0)			0.5			0.25		0.25				
[69.0, 70.0)			0.4					0.4			0.2	
[70.0, 71.0)	0.75							0.25				
[71.0, 72.0)	0.4				0.2			0.2			0.2	
[72.0, 73.0)	0.5			0.25		0.25						
[73.0, 74.0)	0.625			0.375								
[74.0, 75.0)				0.25				0.625		0.125		
[75.0, 76.0)	0.125			0.375				0.5				
[76.0, 77.0)				0.375				0.625				
[77.0, 78.0)	0.125			0.25						0.375	0.25	
[78.0, 79.0)	0.5			0.375				0.125				
[79.0, 80.0)	0.125			0.25		0.125		0.25		0.25		
[80.0, 81.0)				0.25		0.4165				0.3335		
[81.0, 82.0)	0.12493753123438278			0.37481259370314834		0.16691654172913542				0.3333333333333333		
[82.0, 83.0)				0.25				0.625		0.125		
[83.0, 84.0)	0.125			0.375				0.5				
[84.0, 85.0)				0.375				0.625				
